"BWTID","FIRSTBOXNUM","SECONDBOXNUM","BATTERYNUM","VOLTAGENUM","TEMPREATURENUM","VOLTAGEVALUE","TEMPREATUREVALUE","RECEIVETIME","ROWID"
"10001939","1","null","1","168","null","3.327","37","2016-06-17 13:57:51.0","1"
"10001939","1","null","2","168","null","3.327","35","2016-06-17 13:57:51.0","2"
"10001939","1","null","3","168","null","3.327","-40","2016-06-17 13:57:51.0","3"
"10001939","1","null","4","168","null","3.327","-40","2016-06-17 13:57:51.0","4"
"10001939","1","null","5","168","null","3.327","-40","2016-06-17 13:57:51.0","5"
"10001939","1","null","6","168","null","3.327","-40","2016-06-17 13:57:51.0","6"
"10001939","1","null","7","168","null","3.327","-40","2016-06-17 13:57:51.0","7"
"10001939","1","null","8","168","null","3.327","-40","2016-06-17 13:57:51.0","8"
"10001939","1","null","9","168","null","3.324","-40","2016-06-17 13:57:51.0","9"
"10001939","1","null","10","168","null","3.325","-40","2016-06-17 13:57:51.0","10"
"10001939","1","null","11","168","null","3.325","-40","2016-06-17 13:57:51.0","11"
"10001939","1","null","12","168","null","3.326","-40","2016-06-17 13:57:51.0","12"
"10001939","1","null","13","168","null","3.325","-40","2016-06-17 13:57:51.0","13"
"10001939","1","null","14","168","null","3.325","-40","2016-06-17 13:57:51.0","14"
"10001939","1","null","15","168","null","3.325","-40","2016-06-17 13:57:51.0","15"
"10001939","1","null","16","168","null","3.324","-40","2016-06-17 13:57:51.0","16"
"10001939","2","null","1","168","null","3.326","35","2016-06-17 13:57:51.0","17"
"10001939","2","null","2","168","null","3.327","35","2016-06-17 13:57:51.0","18"
"10001939","2","null","3","168","null","3.327","-40","2016-06-17 13:57:51.0","19"
"10001939","2","null","4","168","null","3.328","-40","2016-06-17 13:57:51.0","20"
"10001939","2","null","5","168","null","3.328","-40","2016-06-17 13:57:51.0","21"
"10001939","2","null","6","168","null","3.327","-40","2016-06-17 13:57:51.0","22"
"10001939","2","null","7","168","null","3.327","-40","2016-06-17 13:57:51.0","23"
"10001939","2","null","8","168","null","3.327","-40","2016-06-17 13:57:51.0","24"
"10001939","2","null","9","168","null","3.327","-40","2016-06-17 13:57:51.0","25"
"10001939","2","null","10","168","null","3.327","-40","2016-06-17 13:57:51.0","26"
"10001939","2","null","11","168","null","3.327","-40","2016-06-17 13:57:51.0","27"
"10001939","2","null","12","168","null","3.327","-40","2016-06-17 13:57:51.0","28"
"10001939","2","null","13","168","null","3.327","-40","2016-06-17 13:57:51.0","29"
"10001939","2","null","14","168","null","3.327","-40","2016-06-17 13:57:51.0","30"
"10001939","2","null","15","168","null","3.327","-40","2016-06-17 13:57:51.0","31"
"10001939","2","null","16","168","null","3.326","-40","2016-06-17 13:57:51.0","32"
"10001939","3","null","1","168","null","3.327","36","2016-06-17 13:57:51.0","33"
"10001939","3","null","2","168","null","3.328","35","2016-06-17 13:57:51.0","34"
"10001939","3","null","3","168","null","3.328","-40","2016-06-17 13:57:51.0","35"
"10001939","3","null","4","168","null","3.328","-40","2016-06-17 13:57:51.0","36"
"10001939","3","null","5","168","null","3.328","-40","2016-06-17 13:57:51.0","37"
"10001939","3","null","6","168","null","3.328","-40","2016-06-17 13:57:51.0","38"
"10001939","3","null","7","168","null","3.328","-40","2016-06-17 13:57:51.0","39"
"10001939","3","null","8","168","null","3.328","-40","2016-06-17 13:57:51.0","40"
"10001939","3","null","9","168","null","3.328","-40","2016-06-17 13:57:51.0","41"
"10001939","3","null","10","168","null","3.328","-40","2016-06-17 13:57:51.0","42"
